title,level,school,casting time,range,components,duration,source,spell lists,description
Control Flames,0,transmutation,1 action,60 feet,S,Instantaneous or 1 hour,Xanathar's Guide to Everything,"Druid, Sorcerer, Wizard","<p>You choose nonmagical flame that you can see within range and that fits within a 5-foot cube. You affect it in one of the following ways:</p><ul>
<li>You instantaneously expand the flame 5 feet in one direction, provided that wood or other fuel is present in the new location.</li>
</ul><ul>
<li>You instantaneously extinguish the flames within the cube.</li>
</ul><ul>
<li>You double or halve the area of bright light and dim light cast by the flame, change its color, or both. The change lasts for 1 hour.</li>
</ul><ul>
<li>You cause simple shapes—such as the vague form of a creature, an inanimate object, or a location—to appear within the flames and animate as you like. The shapes last for 1 hour.</li>
</ul><p>If you cast this spell multiple times, you can have up to three of its non-instantaneous effects active at a time, and you can dismiss such an effect as an action.</p>"
Create Bonfire,0,conjuration,1 action,60 feet,"V, S","Concentration, up to 1 minute",Xanathar's Guide to Everything,"Artificer, Druid, Sorcerer, Warlock, Wizard","<p>You create a bonfire on ground that you can see within range. Until the spell ends, the bonfire fills a 5-foot cube. Any creature in the bonfire’s space when you cast the spell must succeed on a Dexterity saving throw or take 1d8 fire damage. A creature must also make the saving throw when it enters the bonfire’s space for the first time on a turn or ends its turn there.</p><p><strong><em>At Higher Levels.</em></strong> The spell’s damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).</p>"
Druidcraft,0,transmutation,1 action,30 feet,"V, S",Instantaneous,Player's Handbook,Druid,"<p>Whispering to the spirits of nature, you create one of the following effects within range:</p><ul>
<li>You create a tiny, harmless sensory effect that predicts what the weather will be at your location for the next 24 hours. The effect might manifest as a golden orb for clear skies, a cloud for rain, falling snowflakes for snow, and so on. This effect persists for 1 round.</li>
</ul><ul>
<li>You instantly make a flower blossom, a seed pod open, or a leaf bud bloom.</li>
</ul><ul>
<li>You create an instantaneous, harmless sensory effect, such as falling leaves, a puff of wind, the sound of a small animal, or the faint odor of skunk. The effect must fit in a 5-foot cube.</li>
</ul><ul>
<li>You instantly light or snuff out a candle, a torch, or a small campfire.</li>
</ul>"
Frostbite,0,evocation,1 action,60 feet,"V, S",Instantaneous,Xanathar's Guide to Everything,"Druid, Sorcerer, Warlock, Wizard, Artificer","<p>You cause numbing frost to form on one creature that you can see within range. The target must make a Constitution saving throw. On a failed save, the target takes 1d6 cold damage, and it has disadvantage on the next weapon attack roll it makes before the end of its next turn.</p><p><strong><em>At Higher Levels.</em></strong> The spell’s damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).</p>"
Guidance,0,divination,1 action,Touch,"V, S","Concentration, up to 1 minute",Player's Handbook,"Artificer, Cleric, Druid","<p>You touch one willing creature. Once before the spell ends, the target can roll a d4 and add the number rolled to one ability check of its choice. It can roll the die before or after making the ability check. The spell then ends.</p>"
Gust,0,transmutation,1 action,30 feet,"V, S",Instantaneous,Xanathar's Guide to Everything,"Druid, Sorcerer, Wizard","<p>You seize the air and compel it to create one of the following effects at a point you can see within range:</p><ul>
<li>One Medium or smaller creature that you choose must succeed on a Strength saving throw or be pushed up to 5 feet away from you.</li>
</ul><ul>
<li>You create a small blast of air capable of moving one object that is neither held nor carried and that weighs no more than 5 pounds. The object is pushed up to 10 feet away from you. It isn’t pushed with enough force to cause damage.</li>
</ul><ul>
<li>You create a harmless sensory affect using air, such as causing leaves to rustle, wind to slam shutters shut, or your clothing to ripple in a breeze.</li>
</ul>"
Infestation,0,conjuration,1 action,30 feet,"V, S, M (a living flea)",Instantaneous,Xanathar's Guide to Everything,"Druid, Sorcerer, Warlock, Wizard","<p>You cause a cloud of mites, fleas, and other parasites to appear momentarily on one creature you can see within range. The target must succeed on a Constitution saving throw, or it takes 1d6 poison damage and moves 5 feet in a random direction if it can move and its speed is at least 5 feet. Roll a d4 for the direction: 1, north; 2, south; 3, east; or 4, west. This movement doesn’t provoke opportunity attacks, and if the direction rolled is blocked, the target doesn't move.</p><p><strong><em>At Higher Levels.</em></strong> The spell’s damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).</p>"
Magic Stone,0,transmutation,1 bonus action,Touch,"V, S",1 minute,Xanathar's Guide to Everything/Elemental Evil Player's Companion,"Druid, Warlock, Artificer","<p>You touch one to three pebbles and imbue them with magic. You or someone else can make a ranged spell attack with one of the pebbles by throwing it or hurling it with a sling. If thrown, it has a range of 60 feet. If someone else attacks with the pebble, that attacker adds your spellcasting ability modifier, not the attacker’s, to the attack roll. On a hit, the target takes bludgeoning damage equal to 1d6 + your spellcasting ability modifier. Hit or miss, the spell then ends on the stone.</p><p>If you cast this spell again, the spell ends early on any pebbles still affected by it.</p>"
Mending,0,transmutation,1 minute,Touch,"V, S, M (two lodestones)",Instantaneous,Player's Handbook,"Artificer, Bard, Cleric, Druid, Sorcerer, Wizard","<p>This spell repairs a single break or tear in an object you touch, such as a broken chain link, two halves of a broken key, a torn cloak, or a leaking wineskin. As long as the break or tear is no larger than 1 foot in any dimension, you mend it, leaving no trace of the former damage.</p><p>This spell can physically repair a magic item or construct, but the spell can’t restore magic to such an object.</p>"
Mold Earth,0,transmutation,1 action,30 feet,S,Instantaneous or 1 hour,Xanathar's Guide to Everything,"Druid, Sorcerer, Wizard","<p>You choose a portion of dirt or stone that you can see within range and that fits within a 5-foot cube. You manipulate it in one of the following ways:</p><ul>
<li>If you target an area of loose earth, you can instantaneously excavate it, move it along the ground, and deposit it up to 5 feet away. This movement doesn’t have enough force to cause damage.</li>
</ul><ul>
<li>You cause shapes, colors, or both to appear on the dirt or stone, spelling out words, creating images, or shaping patterns. The changes last for 1 hour.</li>
</ul><ul>
<li>If the dirt or stone you target is on the ground, you cause it to become difficult terrain. Alternatively, you can cause the ground to become normal terrain if it is already difficult terrain. This change lasts for 1 hour.</li>
</ul><p>If you cast this spell multiple times, you can have no more than two of its non-instantaneous effects active at a time, and you can dismiss such an effect as an action.</p>"
